text,label
Forward this message to 10 people or your bank account will be blocked,fake
Government giving free 5000 rupees click this link now,fake
Breaking: drinking hot water cures all diseases,fake
Your ATM card will be deactivated today call immediately,fake
College will remain closed tomorrow due to heavy rain,real
Meeting scheduled at 10 AM in seminar hall,real
Results will be published on official website,real
Vaccination camp available at government hospital,real
Win a free iPhone by spinning this wheel,fake
NASA detects massive asteroid hitting earth tomorrow,fake
Tomorrow is a holiday declared by district collector,real
Bus pass renewal starts from Monday,real
